"effect","term","estimate","std.error","df","statistic","p.value"
"fixed","a0",38146.1660515402,1952.62054603564,2339,19.535882754582,7.47772499193661e-79
"fixed","a1",-61.8441913318319,3.44339708117456,2339,-17.9602264490323,1.13875501572413e-67
"fixed","xmid",34762.9497238114,2488.72396716387,2339,13.9681821618116,1.19921841541361e-42
"fixed","scal",11311.7819069764,275.471845176116,2339,41.0632959595,4.88302347473521e-278
"fixed","b1",-0.0283001886644925,0.00434612602479573,2339,-6.51158951743068,9.07105328723174e-11
