country_id,country_name,Population,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,Land_Area,historical_data,wem_urbanization_perc,d_bar,u_bar,rising_income,falling_income,gini_case1,gini_case2,gini_case3
49,Belarus,9706981500.000011,2011,27.2,47.83885220048303,75.188,1732.5956578726684,16818273997.950342,17513.115481619436,169999487987.44363,6.5254923290612314,202910,1,75.188,13.525722542065687,0,1,0,27.200000000000003,27.200000000000003,27.200000000000003
49,Belarus,9693749000,2012,26.5,47.77363855896703,75.697,1775.277512536278,17209094611.871033,17822.69993237488,172768779646.75906,5.97894769332726,202910,1,75.697,13.157176102886517,0,1,0,26.5,26.5,26.5
49,Belarus,9691136500,2013,26.6,47.76076339263713,76.199,1813.0091020524474,17570118683.732697,17999.005101925963,174430815306.9609,7.07903884415269,202910,1,76.199,12.846528996490456,0,1,0,26.6,26.6,26.6
49,Belarus,9693739499.99999,2014,27.2,47.77359174018033,76.693,1816.1731440912088,17605509345.716125,18297.55367915926,177371718853.0363,6.813972208673771,202910,1,76.693,12.568696425435952,0,1,0,27.200000000000003,27.200000000000003,27.200000000000003
49,Belarus,9700608999.999989,2015,25.6,47.80744665122462,77.181,1726.0177044762263,16743422878.201403,17584.296204595525,170578382020.965,7.158097890846626,202910,1,77.181,12.321180961008146,0,0,1,25.6,25.6,25.6
49,Belarus,9708109999.999989,2016,25.3,47.844413779508095,77.661,1808.4476482143598,17556608698.10629,17125.116449330864,166252514252.91327,7.397408382239967,202910,1,77.661,12.07365021994704,0,0,1,25.3,25.3,25.3
49,Belarus,9707876000,2017,25.4,47.843260558868465,78.134,1876.416915135014,18216022736.43324,17560.688933406214,170476990640.0798,7.427855395952079,202910,1,78.134,11.790337384902472,0,1,0,25.4,25.4,25.4
49,Belarus,9695573500,2018,25.2,47.7826302301513,78.595,1965.2328633501577,19054059671.22691,18134.724944982936,175826558606.3655,7.33478706259299,202910,1,78.595,11.472934436146105,0,1,0,25.2,25.2,25.2
49,Belarus,9673970999.99999,2019,25.3,47.67616677344631,79.044,2085.6627455872786,20176640916.59169,18438.034458012502,178369010643.8135,7.9872653538316545,202910,1,79.044,11.128192535901839,0,1,0,25.3,25.3,25.3
49,Belarus,9633740499.99999,2020,24.4,47.47789906855252,79.483,1891.2383292494435,18219699287.64268,18390.00433546791,177164529561.77264,7.339838133748068,202910,1,79.483,10.752570669944056,0,0,1,24.4,24.4,24.4
49,Belarus,9578167500,2021,24.470023020953448,47.20401902321226,79.91,1874.1925345327752,17951330023.004456,18917.30960783451,181193160073.19827,6.839550148235209,202910,1,79.91,10.363289724677813,0,1,0,24.4,24.4,24.4
49,Belarus,9534954499.99999,2022,24.26050291652419,46.99105268345567,80.326,1930.560711882387,18407808547.28615,17748.013567600967,169226501832.45773,6.9326093909281035,202910,1,80.326,10.009055901849592,0,0,1,24.4,24.4,24.4
49,Belarus,9498237999.99999,2023,24.017492647078246,46.810103001330596,80.61920604731064,1983.8217005882414,18842810661.75184,17882.597846203113,169853170401.52438,6.875132194534507,202910,1,80.61920604731064,9.641528310324937,0,1,0,24.4,24.4,24.4
49,Belarus,9455036500,2024,23.767382622654896,46.59719333694741,81.05359864075632,NA,NA,18348.027995144246,173481274397.11066,NA,202910,1,81.05359864075632,9.229889769384215,0,1,0,24.4,24.4,24.4
49,Belarus,9412539499.99999,2025,23.526189484738357,46.38775565521655,81.509,NA,NA,18554.126196440826,174641445711.98386,NA,202910,0,81.509,8.824879620225268,0,1,0,24.4,24.4,24.4
