year,country_name,Gini_case1,Gini_case2,Gini_case3
1962,China,32.2,32.2,32.2
1962,Russia,36.9,36.9,36.9
1962,India,33.2,33.2,33.2
1962,Japan,34.8,34.8,34.8
1962,Germany,29.5,29.5,29.5
1962,France,37.1,37.1,37.1
1962,Canada,37.2,37.2,37.2
1962,United Kingdom,26.8,26.8,26.8
1962,Brazil,57.9,57.9,57.9
1962,South Korea,31.7,31.7,31.7
1962,Italy,34,34,34
1962,Indonesia,32.3,32.3,32.3
1962,Mexico,50.1,50.1,50.1
1962,Iran,47.4,47.4,47.4
1962,Saudi Arabia,35.1,35.1,35.1
1962,Spain,34.5,34.5,34.5
1962,Ukraine,29.7,29.7,29.7
1962,South Africa,59.3,59.3,59.3
1962,Australia,31.3,31.3,31.3
1962,Taiwan,31.7,31.7,31.7
1962,Nigeria,38.7,38.7,38.7
1962,Thailand,45.2,45.2,45.2
1962,Poland,38,38,38
1962,Türkiye,43.5,43.5,43.5
1962,Netherlands,28.4,28.4,28.4
1962,Pakistan,33.3,33.3,33.3
1962,Argentina,40.8,40.8,40.8
1962,Malaysia,48.5,48.5,48.5
1962,Egypt,32,32,32
1962,Venezuela,55.6,55.6,55.6
1962,Kazakhstan,35.4,35.4,35.4
1962,Belgium,25.2,25.2,25.2
1962,Vietnam,35.7,35.7,35.7
1962,Sweden,24.3,24.3,24.3
1962,Uzbekistan,44.3,44.3,44.3
1962,United Arab Emirates,32.5,32.5,32.5
1962,Czechia,20.7,20.7,20.7
1962,Philippines,47.7,47.7,47.7
1962,Romania,39.6,39.6,39.6
1962,Finland,22.2,22.2,22.2
1962,Algeria,37.4,37.4,37.4
1962,Austria,30.8,30.8,30.8
1962,Iraq,28.6,28.6,28.6
1962,Greece,37,37,37
1962,Singapore,26.3,26.3,26.3
1962,Colombia,55.1,55.1,55.1
1962,Chile,56.2,56.2,56.2
1962,Belarus,32,32,32
1962,Switzerland,36,36,36
1962,Hungary,29.9,29.9,29.9
1962,Norway,26.9,26.9,26.9
1962,Portugal,38.8,38.8,38.8
1962,Kuwait,35.1,35.1,35.1
1962,Bangladesh,25.9,25.9,25.9
1962,Ethiopia,44.6,44.6,44.6
1962,North Korea,59.3,59.3,59.3
1962,Israel,36.3,36.3,36.3
1962,Denmark,26.2,26.2,26.2
1962,Tanzania,35.3,35.3,35.3
1962,Bulgaria,35.7,35.7,35.7
1962,Syria,35.2,35.2,35.2
1962,Slovakia,27.1,27.1,27.1
1962,Qatar,35.1,35.1,35.1
1962,Kenya,56.9,56.9,56.9
1962,Libya,35.2,35.2,35.2
1962,Sudan,35.4,35.4,35.4
1962,New Zealand,31.3,31.3,31.3
1962,DR Congo,41.6,41.6,41.6
1962,Turkmenistan,40.8,40.8,40.8
1962,Myanmar,38.1,38.1,38.1
1962,Ireland,35.5,35.5,35.5
1962,Oman,35.1,35.1,35.1
1962,Azerbaijan,34.6,34.6,34.6
1962,Morocco,36.5,36.5,36.5
1962,Peru,53.3,53.3,53.3
1962,Mozambique,53.3,53.3,53.3
1962,Ecuador,50.5,50.5,50.5
1962,Angola,51.9,51.9,51.9
1962,Yemen,35,35,35
1963,USA,37.6,37.6,37.6
1963,China,32.2,32.2,32.2
1963,Russia,36.9,36.9,36.9
1963,India,33.2,33.2,33.2
1963,Japan,34.8,34.8,34.8
1963,Germany,29.5,29.5,29.5
1963,France,37.1,37.1,37.1
1963,Canada,37.2,37.2,37.2
1963,United Kingdom,26.8,26.8,26.8
1963,Brazil,57.9,57.9,57.9
1963,South Korea,31.7,31.7,31.7
1963,Italy,34,34,34
1963,Indonesia,32.3,32.3,32.3
1963,Mexico,50.1,50.1,50.1
1963,Iran,47.4,47.4,47.4
1963,Saudi Arabia,35.1,35.1,35.1
1963,Spain,34.5,34.5,34.5
1963,Ukraine,29.7,29.7,29.7
1963,South Africa,59.3,59.3,59.3
1963,Australia,31.3,31.3,31.3
1963,Taiwan,31.7,31.7,31.7
1963,Nigeria,38.7,38.7,38.7
1963,Thailand,45.2,45.2,45.2
1963,Poland,38,38,38
1963,Türkiye,43.5,43.5,43.5
1963,Netherlands,28.4,28.4,28.4
1963,Pakistan,33.3,33.3,33.3
1963,Argentina,40.8,40.8,40.8
1963,Malaysia,48.5,48.5,48.5
1963,Egypt,32,32,32
1963,Venezuela,55.6,55.6,55.6
1963,Kazakhstan,35.4,35.4,35.4
1963,Belgium,25.2,25.2,25.2
1963,Vietnam,35.7,35.7,35.7
1963,Sweden,24.3,24.3,24.3
1963,Uzbekistan,44.3,44.3,44.3
1963,United Arab Emirates,32.5,32.5,32.5
1963,Czechia,20.7,20.7,20.7
1963,Philippines,47.7,47.7,47.7
1963,Romania,39.6,39.6,39.6
1963,Finland,22.2,22.2,22.2
1963,Algeria,37.4,37.4,37.4
1963,Austria,30.8,30.8,30.8
1963,Iraq,28.6,28.6,28.6
1963,Greece,37,37,37
1963,Singapore,26.3,26.3,26.3
1963,Colombia,55.1,55.1,55.1
1963,Chile,56.2,56.2,56.2
1963,Belarus,32,32,32
1963,Switzerland,36,36,36
1963,Hungary,29.9,29.9,29.9
1963,Norway,26.9,26.9,26.9
1963,Portugal,38.8,38.8,38.8
1963,Kuwait,35.1,35.1,35.1
1963,Bangladesh,25.9,25.9,25.9
1963,Ethiopia,44.6,44.6,44.6
1963,North Korea,59.3,59.3,59.3
1963,Israel,36.3,36.3,36.3
1963,Denmark,26.2,26.2,26.2
1963,Tanzania,35.3,35.3,35.3
1963,Bulgaria,35.7,35.7,35.7
1963,Syria,35.2,35.2,35.2
1963,Slovakia,27.1,27.1,27.1
1963,Qatar,35.1,35.1,35.1
1963,Kenya,56.9,56.9,56.9
1963,Libya,35.2,35.2,35.2
1963,Sudan,35.4,35.4,35.4
1963,New Zealand,31.3,31.3,31.3
1963,DR Congo,41.6,41.6,41.6
1963,Turkmenistan,40.8,40.8,40.8
1963,Myanmar,38.1,38.1,38.1
1963,Ireland,35.5,35.5,35.5
1963,Oman,35.1,35.1,35.1
1963,Azerbaijan,34.6,34.6,34.6
1963,Morocco,36.5,36.5,36.5
1963,Peru,53.3,53.3,53.3
1963,Mozambique,53.3,53.3,53.3
1963,Ecuador,50.5,50.5,50.5
1963,Angola,51.9,51.9,51.9
1963,Yemen,35,35,35
1964,USA,38.1,38.1,38.1
1964,China,32.2,32.2,32.2
1964,Russia,36.9,36.9,36.9
1964,India,33.2,33.2,33.2
1964,Japan,34.8,34.8,34.8
1964,Germany,29.5,29.5,29.5
1964,France,37.1,37.1,37.1
1964,Canada,37.2,37.2,37.2
1964,United Kingdom,26.8,26.8,26.8
1964,Brazil,57.9,57.9,57.9
1964,South Korea,31.7,31.7,31.7
1964,Italy,34,34,34
1964,Indonesia,32.3,32.3,32.3
1964,Mexico,50.1,50.1,50.1
1964,Iran,47.4,47.4,47.4
1964,Saudi Arabia,35.1,35.1,35.1
1964,Spain,34.5,34.5,34.5
1964,Ukraine,29.7,29.7,29.7
1964,South Africa,59.3,59.3,59.3
1964,Australia,31.3,31.3,31.3
1964,Taiwan,31.7,31.7,31.7
1964,Nigeria,38.7,38.7,38.7
1964,Thailand,45.2,45.2,45.2
1964,Poland,38,38,38
1964,Türkiye,43.5,43.5,43.5
1964,Netherlands,28.4,28.4,28.4
1964,Pakistan,33.3,33.3,33.3
1964,Argentina,40.8,40.8,40.8
1964,Malaysia,48.5,48.5,48.5
1964,Egypt,32,32,32
1964,Venezuela,55.6,55.6,55.6
1964,Kazakhstan,35.4,35.4,35.4
1964,Belgium,25.2,25.2,25.2
1964,Vietnam,35.7,35.7,35.7
1964,Sweden,24.3,24.3,24.3
1964,Uzbekistan,44.3,44.3,44.3
1964,United Arab Emirates,32.5,32.5,32.5
1964,Czechia,20.7,20.7,20.7
1964,Philippines,47.7,47.7,47.7
1964,Romania,39.6,39.6,39.6
1964,Finland,22.2,22.2,22.2
1964,Algeria,37.4,37.4,37.4
1964,Austria,30.8,30.8,30.8
1964,Iraq,28.6,28.6,28.6
1964,Greece,37,37,37
1964,Singapore,26.3,26.3,26.3
1964,Colombia,55.1,55.1,55.1
