country_id,country_name,iso3c,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,lag_GDP_PPP_pcap,lag_ES_pcap,lag_energy_service,lag_Gini,lag_density,lag_urbanization
1,USA,USA,2023,NA,NA,83.298,14159.290974141695,4863395585924.908,58106.55134332487,19958283633872.105,23.013915816955475,57255.664239407924,13931.23332009894,4757990606964.504,41.3,36.4333780453942,83.084
1,USA,USA,2024,NA,NA,NA,14410.474271128487,4977760800422.484,58624.66785823548,20250518346032.207,22.80917868207953,58106.55134332487,14159.290974141695,4863395585924.908,NA,NA,83.298
2,China,CHN,1960,NA,NA,16.203,8.760653153855536,5736493775.893369,826.5703860174411,541239995632.0677,0.33520577938144513,NA,NA,NA,NA,NA,NA
2,China,CHN,1961,NA,70.3357920805262,16.708,10.18886296510053,6681586174.811408,668.0252976093395,438073277481.4388,0.3763773760590057,826.5703860174411,8.760653153855536,5736493775.893369,NA,NA,16.203
2,China,CHN,1962,NA,70.9152397944239,17.226,11.685515508924915,7771728907.387405,697.688739830455,464014423972.80194,0.4218869440273059,668.0252976093395,10.18886296510053,6681586174.811408,NA,70.3357920805262,16.708
2,China,CHN,1963,NA,72.6796793864671,17.757,13.185258406763207,9026003596.469791,776.4873327442725,531546462098.0109,0.47201962805016484,697.688739830455,11.685515508924915,7771728907.387405,NA,70.9152397944239,17.226
2,China,CHN,1964,NA,74.3860676909967,18.299,14.8482753926426,10465038749.824976,859.1105301904814,605499611980.592,0.5270332899505671,776.4873327442725,13.185258406763207,9026003596.469791,NA,72.6796793864671,17.757
2,China,CHN,1965,NA,76.1787340558677,18.086,16.74119538215183,12110844262.605145,930.0896148367353,672841467913.5215,0.5871425736878513,859.1105301904814,14.8482753926426,10465038749.824976,NA,74.3860676909967,18.299
2,China,CHN,1966,NA,78.3319575000666,17.915,18.839547873956015,13986521995.865294,935.731083194161,694688825064.77,0.6524994233387391,930.0896148367353,16.74119538215183,12110844262.605145,NA,76.1787340558677,18.086
2,China,CHN,1967,NA,80.3717412723351,17.785,21.176438736011935,16115821016.099628,916.9505676593898,697823246544.2697,0.7231698474150414,935.731083194161,18.839547873956015,13986521995.865294,NA,78.3319575000666,17.915
2,China,CHN,1968,NA,82.497803104945,17.656,23.71605767164246,18522502439.94042,870.0191701819758,679494561263.4169,0.7991069555350035,916.9505676593898,21.176438736011935,16115821016.099628,NA,80.3717412723351,17.785
