country_id,country_name,iso3c,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,lag_GDP_PPP_pcap,lag_ES_pcap,lag_energy_service,lag_Gini,lag_density,lag_urbanization
8,Canada,CAN,2006,34.1,3.63291127522004,80.213,7845.433934538799,255226613315.7029,41495.45646122291,1349924670700.7942,40826.90981263205,8148.776731090292,262520306671.55942,33.6,3.59627553791775,80.122
8,Canada,CAN,2007,33.8,3.66834597611535,80.396,7784.521370170264,255818510469.58344,41929.082942296816,1377892748134.287,41495.45646122291,7845.433934538799,255226613315.7029,34.1,3.63291127522004,80.213
8,Canada,CAN,2008,33.9,3.70832237476842,80.578,7713.128880175562,256218884087.83157,41896.204801819404,1391730776005.5325,41929.082942296816,7784.521370170264,255818510469.58344,33.8,3.66834597611535,80.396
8,Canada,CAN,2009,34,3.75101571675707,80.758,7837.719153399528,263299686708.6132,40215.892397111726,1351009351269.498,41896.204801819404,7713.128880175562,256218884087.83157,33.9,3.70832237476842,80.578
8,Canada,CAN,2010,33.6,3.79293521117963,80.937,7938.514117693334,269619029616.2914,41007.49452202133,1392754452042.8965,40215.892397111726,7837.719153399528,263299686708.6132,34,3.75101571675707,80.758
8,Canada,CAN,2011,32.7,3.83011279793076,81.096,7946.9483531245705,272767328153.8694,41853.84967380349,1436571906748.13,41007.49452202133,7938.514117693334,269619029616.2914,33.6,3.79293521117963,80.937
8,Canada,CAN,2012,33.5,3.8718472515473,81.137,7999.585913268622,277520662553.4257,42138.66325552106,1461869385812.9468,41853.84967380349,7946.9483531245705,272767328153.8694,32.7,3.83011279793076,81.096
8,Canada,CAN,2013,33.8,3.91284812265562,81.178,8240.123377473874,288929139909.6203,42662.882093889406,1495918114909.571,42138.66325552106,7999.585913268622,277520662553.4257,33.5,3.8718472515473,81.137
8,Canada,CAN,2014,33.2,3.9522291338328,81.218,8171.043643301083,289292597141.9667,43464.723686462574,1538851503947.5225,42662.882093889406,8240.123377473874,288929139909.6203,33.8,3.91284812265562,81.178
8,Canada,CAN,2015,33.7,3.98239245827659,81.259,8358.180375348646,298655554302.6851,43350.212562575405,1548995257412.7273,43464.723686462574,8171.043643301083,289292597141.9667,33.2,3.9522291338328,81.218
