country_id,country_name,iso3c,wem_regions,Population,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,Land_Area,historical_data
65,Kenya,KEN,East Africa,92293872000,2061,22.79508303867707,162.16374178585232,52.329241900609055,NA,NA,20632.480523880662,1904251516513.535,NA,569140,0
65,Kenya,KEN,East Africa,93001111000,2062,22.568479929202727,163.40638682925118,52.934999673606264,NA,NA,21335.09727962378,1984187750298.0894,NA,569140,0
65,Kenya,KEN,East Africa,93685070000,2063,22.345509843275487,164.6081280528517,53.539894118926014,NA,NA,22051.69570678244,2065914655908.6125,NA,569140,0
65,Kenya,KEN,East Africa,94345005000,2064,22.125989893149754,165.76765822117582,54.143748944063276,NA,NA,22782.810194295413,2149444341694.8516,NA,569140,0
65,Kenya,KEN,East Africa,94982484000,2065,21.909799982110613,166.88773236813438,54.74638907446195,NA,NA,23528.07387809552,2234754900677.026,NA,569140,0
65,Kenya,KEN,East Africa,95598342000,2066,21.697147540712873,167.96981761956638,55.34764085463018,NA,NA,24280.112440473295,2321138492882.821,NA,569140,0
65,Kenya,KEN,East Africa,96191417000,2067,21.4875596437614,169.01187229855572,55.94733224574671,NA,NA,25045.40878081742,2409153359971.07,NA,569140,0
65,Kenya,KEN,East Africa,96760585000,2068,21.280845913367997,170.01192149558983,56.54529301928937,NA,NA,25825.732142257028,2498912950138.0933,NA,569140,0
65,Kenya,KEN,East Africa,97305744000,2069,21.076894054841325,170.96978599290156,57.14135494622814,NA,NA,26621.48617668983,2590423518808.519,NA,569140,0
65,Kenya,KEN,East Africa,97825656999.99998,2070,20.87559002603952,171.88329233580487,57.73535198134869,NA,NA,27433.38625949539,2683689034569.9087,NA,569140,0
65,Kenya,KEN,East Africa,98322814000.00002,2071,20.677215445555287,172.7568155462628,58.32712044229238,NA,NA,28250.478209118923,2777666514366.2534,NA,569140,0
65,Kenya,KEN,East Africa,98797657000,2072,20.481394194221963,173.59113223459957,58.91649918291606,NA,NA,29080.26935152173,2873062476859.2563,NA,569140,0
65,Kenya,KEN,East Africa,99244962000,2073,20.287925634407642,174.37706363987772,59.50332976060228,NA,NA,29926.67399285249,2970071623207.0337,NA,569140,0
65,Kenya,KEN,East Africa,99664919000,2074,20.096648362715406,175.11494359911447,60.08745659717538,NA,NA,30793.40668770935,3069022383264.611,NA,569140,0
65,Kenya,KEN,East Africa,100062619000,2075,19.907440885825277,175.81371718733527,60.668727133099644,NA,NA,31683.68664726963,3170352665501.1284,NA,569140,0
65,Kenya,KEN,East Africa,100440786000,2076,19.720363971495846,176.47817057314543,61.24699197466658,NA,NA,32593.949074437005,3273761863880.4253,NA,569140,0
65,Kenya,KEN,East Africa,100798003000,2077,19.5351963424704,177.105814035211,61.82210503390636,NA,NA,33532.17884414743,3379976663728.909,NA,569140,0
65,Kenya,KEN,East Africa,101131634999.99998,2078,19.351890754187096,177.69201778121374,62.39392366098077,NA,NA,34500.21629035665,3489063281297.4023,NA,569140,0
65,Kenya,KEN,East Africa,101445394000,2079,19.17047185522285,178.24330393224864,62.96230876884995,NA,NA,35496.56607756775,3600963131385.895,NA,569140,0
65,Kenya,KEN,East Africa,101743624999.99998,2080,18.99106250390201,178.76730681378922,63.527124950029325,NA,NA,36513.82117909357,3715048529362.753,NA,569140,0
65,Kenya,KEN,East Africa,102022686000,2081,18.813844618617825,179.2576272973258,64.08824058528627,NA,NA,37539.087288564384,3829838515167.7954,NA,569140,0
65,Kenya,KEN,East Africa,102279100000,2082,18.638476450852423,179.7081561654426,64.64552794414973,NA,NA,38588.27834949172,3946774380135.498,NA,569140,0
65,Kenya,KEN,East Africa,102517576000,2083,18.464917210305682,180.12716730505676,65.19886327713922,NA,NA,39662.20846584885,4066073470725.503,NA,569140,0
65,Kenya,KEN,East Africa,102739294000,2084,18.293141537173994,180.5167340197491,65.74812689964821,NA,NA,40760.8174845671,4187737611227.2803,NA,569140,0
65,Kenya,KEN,East Africa,102945222000,2085,18.123191444222776,180.8785571212707,66.29320326744083,NA,NA,41879.04339956095,4311247419915.4365,NA,569140,0
65,Kenya,KEN,East Africa,103137635000,2086,17.95514418118582,181.21663386864392,66.83398104375267,NA,NA,43007.78449843327,4435721179758.068,NA,569140,0
65,Kenya,KEN,East Africa,103314919000.00002,2087,17.788901228230316,181.52812840425906,67.37035315801324,NA,NA,44150.43125430016,4561398228853.09,NA,569140,0
