id A b c
1 97.3934905619488 0.288140342950623 6.43271124364394
2 92.0668247240156 0.245830786734538 7.63381500160203
3 81.2671572573463 0.140411056604098 7.17996350051797
4 85.4121626970902 0.197909557253565 8.05178340384287
5 93.274641156422 0.158731285610586 6.93896509683467
6 106.096290793314 0.247597341573321 5.90850448879984
7 81.0016253625923 0.211717863603764 9.39126106833996
8 79.5909137602962 0.270873028059906 10.2391963886604
9 77.7860735395253 0.177595051132493 7.34820587228662
10 89.2535424816334 0.204532270990142 8.79345621946882
11 93.2075505446641 0.26283142768923 6.96744824379713
12 78.0943150217583 0.115072672742303 7.72605498609895
