"effect","term","estimate","std.error","df","statistic","p.value"
"fixed","a0",12775.9770206956,2024.2537188943,2425,6.31145043797878,3.27616189287626e-10
"fixed","a1",-98.5890310249399,46.4958740805814,2425,-2.12038235595004,0.0340750822130405
"fixed","xmid",29903.7625498781,1615.50828414116,2425,18.5104359064154,1.16878772697261e-71
"fixed","scal",11037.1876311162,262.379799312747,2425,42.0656912613928,7.19689798492457e-291
